EnglishDate,NepaliDate,Max,Min,Wind,Rain,Humidity,Cloud,Pressure
1/1/2009,17/09/2065,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
1/1/2010,17/09/2066,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
1/1/2011,17/09/2067,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
1/1/2012,17/09/2068,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
1/1/2013,17/09/2069,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
1/1/2014,17/09/2070,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
1/1/2015,17/09/2071,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
1/1/2016,17/09/2072,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
1/1/2017,17/09/2073,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
1/1/2018,17/09/2074,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
1/1/2019,17/09/2075,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
1/1/2020,16/09/2076,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
1/1/2021,17/09/2077,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
1/1/2022,17/09/2078,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
1/1/2023,17/09/2079,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2/1/2009,18/09/2065,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2/1/2010,18/09/2066,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2/1/2011,18/09/2067,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2/1/2012,18/09/2068,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2/1/2013,18/09/2069,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2/1/2014,18/09/2070,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2/1/2015,18/09/2071,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2/1/2016,18/09/2072,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2/1/2017,18/09/2073,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2/1/2018,18/09/2074,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2/1/2019,18/09/2075,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2/1/2020,17/09/2076,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2/1/2021,18/09/2077,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2/1/2022,18/09/2078,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2/1/2023,18/09/2079,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
3/1/2009,19/09/2065,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
3/1/2010,19/09/2066,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
3/1/2011,19/09/2067,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
3/1/2012,19/09/2068,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
3/1/2013,19/09/2069,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
3/1/2014,19/09/2070,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
3/1/2015,19/09/2071,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
3/1/2016,19/09/2072,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
3/1/2017,19/09/2073,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
3/1/2018,19/09/2074,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
3/1/2019,19/09/2075,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
3/1/2020,18/09/2076,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
3/1/2021,19/09/2077,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
3/1/2022,19/09/2078,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
3/1/2023,19/09/2079,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
4/1/2009,20/09/2065,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
4/1/2010,20/09/2066,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
4/1/2011,20/09/2067,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
4/1/2012,20/09/2068,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
4/1/2013,20/09/2069,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
4/1/2014,20/09/2070,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
4/1/2015,20/09/2071,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
4/1/2016,20/09/2072,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
4/1/2017,20/09/2073,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
4/1/2018,20/09/2074,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
4/1/2019,20/09/2075,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
4/1/2020,19/09/2076,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
4/1/2021,20/09/2077,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
4/1/2022,20/09/2078,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
4/1/2023,20/09/2079,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
5/1/2009,21/09/2065,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
5/1/2010,21/09/2066,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
5/1/2011,21/09/2067,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
5/1/2012,21/09/2068,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
5/1/2013,21/09/2069,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
5/1/2014,21/09/2070,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
5/1/2015,21/09/2071,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
5/1/2016,21/09/2072,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
5/1/2017,21/09/2073,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
5/1/2018,21/09/2074,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
5/1/2019,21/09/2075,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
5/1/2020,20/09/2076,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
5/1/2021,21/09/2077,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
5/1/2022,21/09/2078,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
5/1/2023,21/09/2079,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
6/1/2009,22/09/2065,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
6/1/2010,22/09/2066,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
6/1/2011,22/09/2067,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
6/1/2012,22/09/2068,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
6/1/2013,22/09/2069,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
6/1/2014,22/09/2070,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
6/1/2015,22/09/2071,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
6/1/2016,22/09/2072,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
6/1/2017,22/09/2073,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
6/1/2018,22/09/2074,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
6/1/2019,22/09/2075,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
6/1/2020,21/09/2076,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
6/1/2021,22/09/2077,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
6/1/2022,22/09/2078,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
6/1/2023,22/09/2079,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
7/1/2009,23/09/2065,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
7/1/2010,23/09/2066,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
7/1/2011,23/09/2067,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
7/1/2012,23/09/2068,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
7/1/2013,23/09/2069,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
7/1/2014,23/09/2070,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
7/1/2015,23/09/2071,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
7/1/2016,23/09/2072,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
7/1/2017,23/09/2073,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
